type,horse,CO2,CO
Car,510,550.27,0.12
Car,510,343.88,0.0118
Car,552,511.93,0.5
Car,552,296.63,0.06
Car,565,603.49,0.61
Car,565,353.09,0.05
Car,420,551.4037,0.7897
Car,420,333.29,0.3147
Car,430,529.36,0.64907
Car,430,306.95,0.1417
Car,568,536.18,0.335
Car,568,309.22,0.03758
Car,211,292,0.67
Car,211,199,0.14
Car,211,308,0.88
Car,211,374,0.59
Car,211,365,2.19
Car,211,323,1.03
Car,211,203,0.12
Car,211,368,0.84
Car,211,363,3.02
Car,211,301,0.78
Car,211,314,0.73
Car,211,200,0.13
Both,211,309,1.08
Both,211,338,0.48
Both,211,332,1.24
Both,211,282,0.67
Both,211,189,0.19
Both,333,374,0.4
Both,333,393,0.33
Both,333,233,0.22
Both,333,362,1.2
Both,333,379,0.53
Both,333,488,1.53
Both,333,448,0.04
Both,333,363,1.46
Both,333,391,0.35
Both,333,236,0.28
Car,211,422,1.28
Car,211,343,1.63
Car,211,429,1.15
Car,211,358,0.71
Car,211,219,0.17
Both,240,297,0
Both,240,297,0
Both,240,297,0
Both,240,329,0.233
Both,240,329,0.233
Both,240,329,0.233
Both,240,409,0.37
Both,240,409,0.37
Both,240,409,0.37
Both,240,358,0.002
Both,240,358,0.002
Both,240,358,0.002
Both,240,309,0.002
Both,240,309,0.002
Both,240,309,0.002
Both,240,194,0.003
Both,240,194,0.003
Both,240,194,0.003
Both,240,333,0.209
Both,240,333,0.209
Both,240,333,0.209
Both,272,387,1.15
Both,272,384,0.55
Both,272,475,1.52
Both,272,388,1.36
Both,272,464,0.3
Both,272,396,0.67
Both,272,251,0.3
Truck,211,358,0.46
Truck,211,230,0.11
Both,211,229,0.13
Both,211,357,0.163
Both,240,417,0.24
Both,240,417,0.24
Both,240,417,0.24
Both,240,361,0
Both,240,361,0
Both,240,361,0
Both,240,358,0
Both,240,358,0
Both,240,358,0
Both,240,356,0.34
Both,240,356,0.34
Both,240,356,0.34
Both,240,231,0
Both,240,231,0
Both,240,231,0
Both,240,351,0
Both,240,351,0
Both,240,351,0
Both,240,340,0.31
Both,240,340,0.31
Both,240,340,0.31
Truck,211,323,1.15
Truck,211,324,0.573
Truck,211,382,1.3
Truck,211,292,0.93
Truck,211,223,0.46
Truck,272,458,0.25
Truck,272,295,0.61
Truck,240,402,0.002
Truck,240,402,0.002
Truck,240,402,0.002
Truck,240,502,0.111
Truck,240,502,0.111
Truck,240,502,0.111
Truck,240,480,0
Truck,240,480,0
Truck,240,480,0
Truck,240,446,0.21
Truck,240,446,0.21
Truck,240,446,0.21
Truck,240,260,0
Truck,240,260,0
Truck,240,260,0
Truck,240,432,0.002
Truck,240,432,0.002
Truck,240,432,0.002
Truck,240,492,0.169
Truck,240,492,0.169
Truck,240,492,0.169
Truck,240,389,0.001
Truck,240,389,0.001
Truck,240,389,0.001
Truck,240,422,0.19
Truck,240,422,0.19
Truck,240,422,0.19
Truck,240,248,0.001
Truck,240,248,0.001
Truck,240,248,0.001
Car,525,645,0.51
Car,525,387,1.41
Car,525,479,3.49
Car,525,690,2.03
Car,525,746,0.99
Car,430,737,1.88
Car,430,654,0.54
Car,430,372,0.92
Car,430,460,2.78
Car,430,727,1.58
Car,430,649,0.59
Car,430,355,0.94
Car,430,439,3.6
Car,430,703,1.58
Car,430,728,2.06
Car,525,577,0.37
Car,525,312,0.01
Car,525,425,0.284
Car,525,579,0.003
Car,525,652,1.52
Car,525,577,0.187
Car,525,307,0.039
Car,525,421,0.792
Car,525,640,1.76
Car,525,592,0.043
Car,450,541,2.3
Car,450,483,0.25
Car,450,414,1.33
Car,450,463,0.43
Car,450,307,0.35
